hero1,hero2
GLADIATOR/MELVIN POT,"PAGE, KAREN"
GLAMOUR GIRL/GLORIA,WONDER MAN/SIMON WIL
GLEEG,MEPHISTO
"GLENN, HEATHER",MATADOR/MANUEL ELOGA
"GLENN, HEATHER",IRON FIST/DANIEL RAN
"GLENN, HEATHER","URICH, BEN"
GLOM,THUNDERSTRIKE/ERIC K
GLORIAN/THOMAS GIDEO,THING/BENJAMIN J. GR
GOBLYN,PATHWAY/LAURA DEAN
GOLDDIGGER,IRON MAIDEN/
GOLDEN ARCHER II/WYA,IRON MAN/TONY STARK 
GOLDEN ARCHER II/WYA,SCARLET WITCH/WANDA 
GOLDEN ARCHER II/WYA,INERTIA/
GOLDEN ARCHER II/WYA,POWER PRINCESS/ZARDA
GORGON [INHUMAN],HELLCAT/PATSY WALKER
GORGON [INHUMAN],TRITON
GORGON [INHUMAN],INVISIBLE WOMAN/SUE 
GORGON [INHUMAN],SCARLET WITCH/WANDA 
GORGON [INHUMAN],SUB-MARINER/NAMOR MA
GORGON [INHUMAN],PSYCHO-MAN
GORGON [INHUMAN],MR. FANTASTIC/REED R
GORGON [INHUMAN],LOCKJAW [INHUMAN]
GORGON [INHUMAN],LEIR
GORGON [INHUMAN],KRISTOFF/KRISTOFF VE
GORGON [INHUMAN],"JONES, RICHARD MILHO"
GORGON [INHUMAN],THING/BENJAMIN J. GR
GORGON [INHUMAN],MEPHISTO
GORGON [INHUMAN],MEDUSA/MEDUSALITH AM
GORGON [INHUMAN],MEDUSA/MEDUSALITH AM
GORGON [INHUMAN],SWORDSMAN/JACQUES DU
GORGON [INHUMAN],WARLOCK II/ADAM WARL
GORGON [INHUMAN],MASTON-DAR
GORGON [INHUMAN],HULK/DR. ROBERT BRUC
GORGON [INHUMAN],THOR/DR. DONALD BLAK
GRANDMASTER/EN DWI G,NOVA II/FRANKIE RAYE
"GRANT, GLORIA GLORY","LUBENSKI, NATE"
"GRANT, GLORIA GLORY","LEEDS, BETTY BRANT"
"GRANT, GLORIA GLORY",GREEN GOBLIN III/BAR
"GRANT, GLORIA GLORY","PARKER, MAY II"
"GRANT, GLORIA GLORY",WHITE TIGER/HECTOR A
"GRANT, GLORIA GLORY",SPIDER-MAN/PETER PAR
"GRANT, GLORIA GLORY",LIGHTMASTER/EDWARD L
"GRANT, GLORIA GLORY","ROBERTSON, JOE"
"GRANT, PHILLIP",SPIDER-WOMAN II/JULI
"GRANT, SILAS",HOGUN [ASGARDIAN]
"GRANT, SILAS",TANA NILE
GRAVITON/FRANK HALL,SCREAMING MIMI/MELIS
GRAVITON/FRANK HALL,"WATSON-PARKER, MARY "
GREEN GOBLIN III/BAR,"ROBERTSON, JOE"
GREEN GOBLIN V/,"STACY, JILL"
GREEN GOBLIN/NORMAN ,WASP/JANET VAN DYNE 
GREEN GOBLIN/NORMAN ,"WATSON, ANNA"
GREEN GOBLIN/NORMAN ,KINGPIN/WILSON FISK
GREEN GOBLIN/NORMAN ,INVISIBLE WOMAN/SUE 
GREEN GOBLIN/NORMAN ,"PARKER, MAY"
GREENSONG,THOR/DR. DONALD BLAK
GREGOR,SPIDER-MAN CLONE/BEN
GREMLIN/,PROFESSOR X/CHARLES 
GREMLIN/,HAWK
GREY GARGOYLE/PAUL P,ODIN [ASGARDIAN]
GREY GARGOYLE/PAUL P,VOLSTAGG
GREY KING/ADDISON FA,NIGHTCRAWLER/KURT WA
"GREY, DR. JOHN",ROGUE /
"GREY, DR. JOHN","SUMMERS, NATHAN CHRI"
"GREY, DR. JOHN",SCALPHUNTER
"GREY, DR. JOHN","SUMMERS, MADELYNE MA"
"GREY, ELAINE",STORM/ORORO MUNROE S
"GREY, ELAINE",STORM/ORORO MUNROE S
"GREY, ELAINE",PHOENIX III/RACHEL S
"GREY, ELAINE",NIGHTCRAWLER/KURT WA
GRIFFIN II/JOHNNY HO,"KNIGHT, MISTY"
GRIFFIN II/JOHNNY HO,KA-ZAR/KEVIN PLUNDER
"GRIFFITH, D.W.",QUICKSAND
GRIM REAPER/ERIC WIL,HAWK
"GRIMM, SUE STORM EAR",THING/BENJAMIN J. GR
GROUNDHOG/SEAN BENAR,SASQUATCH/WALTER LAN
"GRUENWALD, MARK","JARVIS, EDWIN "
GUARDIAN V/JAMES MAC,"PROCTOR, COORDINATOR"
GUARDIAN/JAMES MACDO,WONDER MAN/SIMON WIL
GUARDIAN/JAMES MACDO,SHAMAN/MICHAEL TWOYO
GUARDIAN/JAMES MACDO,SHAMAN/MICHAEL TWOYO
GUARDIAN/JAMES MACDO,OUIJA/
GUARDSMAN/KEVIN O'BR,"SITWELL, JASPER"
GUARDSMAN/KEVIN O'BR,IRON MAN/TONY STARK 
GUARDSMAN/KEVIN O'BR,NIGHT PHANTOM II
GUILOTINE,"TAKIMOTO, RON"
GUILOTINE,NETWORK NINA
GULLIN,MOON KNIGHT/MARC SPE
GUNTHAR II,SERSI/SYLVIA
GYPSY MOTH,ION/
GYPSY MOTH,MOCKINGBIRD/DR. BARB
GYPSY MOTH,URSA MAJOR/MIKHAIL U
"GYRICH, HENRY PETER","ROSS, EVERETT KENNET"
"GYRICH, HENRY PETER",IRON MAN/TONY STARK 
"GYRICH, HENRY PETER",IRON MAN/TONY STARK 
"GYRICH, HENRY PETER",STORM/ORORO MUNROE S
"GYRICH, HENRY PETER",SCREAMING MIMI/MELIS
"GYRICH, HENRY PETER",THUNDERHEAD/
"GYRICH, HENRY PETER",SILHOUETTE
HAAG,YRDISIS
"HADDOCK, DR. MYRA",MARIONETTE/MARI
"HAGGERT, BOB",HAWK
"HALE, JONAS","HOGAN, VIRGINIA PEPP"
"HALL, MORGAN","JAMESON, J. JONAH"
HAMES,NORTHSTAR/JEAN-PAUL 
"HAMID, SHEIK",PRINCESS SANDELLA
"HAMID, SHEIK","SUMMERS, NATHAN CHRI"
"HAMMER, JUSTIN",TERROR II
HAMMERHEAD,IGOR
HAMMERHEAD,"WILSON, LOUIS"
HAMMERHEAD,"URICH, BEN"
HAMMERHEAD,HOBGOBLIN V/JASON PH
HAMMERHEAD,"WATSON-PARKER, MARY "
HAMMERHEAD,MOLTEN MAN/MARK RAXT
HANGMAN,MAGNUS
HARBINGER,OZYMANDIAS
HARD BOILED HENWY,NUMBERS
HARDCASE/HAROLD HARR,JUBILEE/JUBILATION L
"HARDY, LYDIA",SPIDER-MAN/PETER PAR
"HARDY, LYDIA","LUBENSKI, NATE"
"HARDY, STAN","PARKER, MAY"
HARGEN,ONEG
"HARKNESS, AGATHA","MCLAREN, MEGAN"
"HARKNESS, AGATHA","ROSETTI, GABRIEL"
"HARKNESS, AGATHA",IRON MAN/TONY STARK 
"HARKNESS, AGATHA",WONG
"HARKNESS, AGATHA",SCARLET WITCH/WANDA 
"HARKNESS, AGATHA",SCARLET WITCH/WANDA 
"HARKNESS, AGATHA",VISION DOPPELGANGER 
"HARKNESS, AGATHA","RICHARDS, FRANKLIN B"
"HARKNESS, AGATHA",WOLVERINE/LOGAN 
"HARKNESS, AGATHA",MR. FANTASTIC/REED R
"HARKNESS, AGATHA","HOGAN, HAROLD J. HAP"
"HARKNESS, AGATHA",THING/BENJAMIN J. GR
"HARKNESS, AGATHA",MULTIPLE MAN DOPPELG
"HARKNESS, AGATHA",MANTIS/? BRANDT
HAROKIN [ASGARDIAN],SIF
HAROKIN [ASGARDIAN],VISION 
"HARRIS, BERNARD","NELSON, DEBBIE HARRI"
"HARRIS, EDDIE",TORPEDO III/BROCK JO
"HARRIS, EDDIE","SPAULDING, PETER"
"HARRIS, EDDIE","JONES, MAGGIE"
HARVEST/CHI LO,KARKAS [DEVIANT]
HARVEST/CHI LO,SPRITE
"HATCHWAY, VERNON",HAWK
HATE,SHE-HULK/JENNIFER WA
HAUPTMANN ENGLAND,LOCKHEED
HAUPTMANN ENGLAND,LOCKHEED
HAUPTMANN ENGLAND,"STUART, BRIG. ALYSAN"
HAVOK/ALEX SUMMERS ,PSYLOCKE/ELISABETH B
HAVOK/ALEX SUMMERS ,PSYLOCKE/ELISABETH B
HAVOK/ALEX SUMMERS ,SUNSPOT/ROBERTO DACO
HAVOK/ALEX SUMMERS ,PIXIE/ [ETERNAL]
HAVOK/ALEX SUMMERS ,MARVEL GIRL/JEAN GRE
HAVOK/ALEX SUMMERS ,MARVEL GIRL/JEAN GRE
HAVOK/ALEX SUMMERS ,MARVEL GIRL/JEAN GRE
HAVOK/ALEX SUMMERS ,MYSTIQUE/RAVEN DARKH
HAVOK/ALEX SUMMERS ,SHADOWCAT/KATHERINE 
HAVOK/ALEX SUMMERS ,SABRETOOTH | MUTANT 
HAVOK/ALEX SUMMERS ,PRETTY BOY
HAVOK/ALEX SUMMERS ,POLARIS/LORNA DANE
HAVOK/ALEX SUMMERS ,POLARIS/LORNA DANE
HAVOK/ALEX SUMMERS ,MAELEN
HAVOK/ALEX SUMMERS ,ICEMAN/ROBERT BOBBY 
HAVOK/ALEX SUMMERS ,WOLVERINE/LOGAN 
HAVOK/ALEX SUMMERS ,WOLVERINE/LOGAN 
HAVOK/ALEX SUMMERS ,ICE-MAN | MUTANT X-V
HAVOK/ALEX SUMMERS ,SHE-HULK/JENNIFER WA
HAVOK/ALEX SUMMERS ,"MCKENZIE, SCARLETT"
HAVOK/ALEX SUMMERS ,MALICE IV
HAVOK/ALEX SUMMERS ,MULTIPLE MAN/JAMES A
HAVOK/ALEX SUMMERS ,THING/BENJAMIN J. GR
HAVOK/ALEX SUMMERS ,STRONG GUY/GUIDO CAR
HAVOK/ALEX SUMMERS ,JOSEPH
HAVOK/ALEX SUMMERS ,STORM/ORORO MUNROE S
HAVOK/ALEX SUMMERS ,RAVEN | MUTANT X-VER
HAVOK/ALEX SUMMERS ,"SUMMERS, MADELYNE MA"
HAVOK/ALEX SUMMERS ,HULK/DR. ROBERT BRUC
HAWK,X-RAY
HAWK,SPIDER-WOMAN II/JULI
HAWK,THING/BENJAMIN J. GR
HAWK,THING/BENJAMIN J. GR
HAWK,RED GUARDIAN V
HAWK,"JONES, MARLO CHANDLE"
HAWK,IRON MAN/TONY STARK 
HAWK,IRON MAN/TONY STARK 
HAWK,IRON MAN/TONY STARK 
HAWK,IRON MAN/TONY STARK 
HAWK,IRON MAN/TONY STARK 
HAWK,MUTAURUS
HAWK,VISION 
HAWK,VISION 
HAWK,VISION 
HAWK,VISION 
HAWK,SWORDSMAN III/PHILIP
HAWK,THUNDERSTRIKE/ERIC K
HAWK,MR. FANTASTIC/REED R
HAWK,MOCKINGBIRD/DR. BARB
HAWK,MOCKINGBIRD/DR. BARB
HAWK,JOLT/HALLIE TAKAHAMA
HAWK,WASP/JANET VAN DYNE 
HAWK,WASP/JANET VAN DYNE 
HAWK,WASP/JANET VAN DYNE 
HAWK,WASP/JANET VAN DYNE 
HAWK,WASP/JANET VAN DYNE 
HAWK,HUMAN TORCH/JOHNNY S
HAWK,WONDER MAN/SIMON WIL
HAWK,HULK/DR. ROBERT BRUC
HAWK,HERCULES [GREEK GOD]
HAWK,SCREAMING MIMI/MELIS
HAWK,MENTALLO
HAWK,"TODD, FISHER"
HAWK,USAGENT/CAPTAIN JOHN
HAWK,USAGENT/CAPTAIN JOHN
HAWK,LANN
HAWK,IRON MAN V/TEEN TONY
HAWK,M'SHULLA
HAWK,"TOWER, BLAKE"
HAWK,PROFESSOR X/CHARLES 
HAWK,LOKI [ASGARDIAN]
HAWK,THOR/DR. DONALD BLAK
HAWK,STARSHINE II/BRANDY 
HAWK,PHARAOH RAMA-TUT
HAWK,WHIZZER II/STANLEY S
HAWK,ZEMO/BARON HEINRICH 
HAWK,JOYSTICK/JANICE
HAWK,SCARLET WITCH/WANDA 
HAWK,SPIDER-MAN/PETER PAR
HAWK,TIGRA/GREER NELSON
HAWKSHAW,PIPELINE/CORMICK GRI
HEADGEAR/,LEADER/SAM STERNS
HECTOR II,"JONES, RICHARD MILHO"
HECTOR II,"JONES, RICHARD MILHO"
HEIMDALL [ASGARDIAN],LOKI [ASGARDIAN]
HEIMDALL [ASGARDIAN],ULIK
HEIMDALL [ASGARDIAN],ULIK
HEIMDALL [ASGARDIAN],MALEKITH/MALCOLM KEI
HEIMDALL [ASGARDIAN],HILDEGARDE [ASGARDIA
HEIMDALL [ASGARDIAN],THOR/DR. DONALD BLAK
HEIMDALL [ASGARDIAN],THOR/DR. DONALD BLAK
HEIMDALL [ASGARDIAN],SIF
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN]
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN]
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN]
HEIMDALL [ASGARDIAN],ODIN [ASGARDIAN]
HEIMDALL [ASGARDIAN],KARNILLA [ASGARDIAN]
HEIMDALL [ASGARDIAN],"KINCAID, DR. JANE FO"
HEIMDALL [ASGARDIAN],ZURAS
HEIMDALL [ASGARDIAN],"KOSINSKI, HARLEY"
HELA [ASGARDIAN],MR. FANTASTIC/REED R
HELA [ASGARDIAN],TYR
HELA [ASGARDIAN],HRIMHARI
HELA [ASGARDIAN],TEXAS TWISTER/DREW D
HELA [ASGARDIAN],WOLFSBANE/RAHNE SINC
HELIX/RAFAEL CARAGO,JACKAL/MILES WARREN
HELKOOKY,MOONDRAGON/HEATHER D
HELLCAT/PATSY WALKER,MEPHISTO
HELLCAT/PATSY WALKER,NIGHTCRAWLER/KURT WA
HELLCAT/PATSY WALKER,NOVA/RICHARD RIDER
HELLCAT/PATSY WALKER,NOVA/RICHARD RIDER
HELLCAT/PATSY WALKER,SUB-MARINER/NAMOR MA
HELLCAT/PATSY WALKER,STINGRAY/DR. WALTER 
HELLCAT/PATSY WALKER,HELLSTORM/DAIMON HEL
HELLCAT/PATSY WALKER,MANDRILL/HENSLEY FAR
HELLCAT/PATSY WALKER,RED GUARDIAN III/DR.
HELLCAT/PATSY WALKER,THOR/DR. DONALD BLAK
HELLCAT/PATSY WALKER,SASQUATCH/WALTER LAN
HELLCAT/PATSY WALKER,OVERMIND/GROM
HELLEN,STORM/ORORO MUNROE S
HELLSTORM/DAIMON HEL,WONDER MAN/SIMON WIL
HELLSTORM/DAIMON HEL,TOM THUMB/THOMAS THO
HELLSTORM/DAIMON HEL,WASP/JANET VAN DYNE 
HELLSTORM/DAIMON HEL,VANGUARD/NICOLAI KRY
HEMINGWAY,PENANCE/MONET ST. CR
"HENCKEL, MARIA","ROBERTSON, JOE"
HERCULES DOPPELGANGE,UATU
HERCULES DOPPELGANGE,QUASAR III/WENDELL V
HERCULES [GREEK GOD],"PETROVITCH, IVAN"
HERCULES [GREEK GOD],"STEELE, MARCY MASTER"
HERCULES [GREEK GOD],NECRODAMUS
HERCULES [GREEK GOD],VISION 
HERCULES [GREEK GOD],VISION 
HERCULES [GREEK GOD],SWORDSMAN II/COTATI
HERCULES [GREEK GOD],WOLVERINE/LOGAN 
HERCULES [GREEK GOD],WOLVERINE/LOGAN 
HERCULES [GREEK GOD],TUC
HERCULES [GREEK GOD],WARLOCK II/ADAM WARL
HERCULES [GREEK GOD],SHE-CAT
HERCULES [GREEK GOD],THOR/DR. DONALD BLAK
HERCULES [GREEK GOD],THOR/DR. DONALD BLAK
HERCULES [GREEK GOD],THOR/DR. DONALD BLAK
HERCULES [GREEK GOD],SCARLET WITCH/WANDA 
HERCULES [GREEK GOD],SANDMAN/WILLIAM BAKE
HERCULES [GREEK GOD],"JARVIS, EDWIN "
HERCULES [GREEK GOD],ICEMAN/ROBERT BOBBY 
HERCULES [GREEK GOD],ZEUS
HERCULES [GREEK GOD],TAGAK
HERCULES [GREEK GOD],WIZARD/BENTLEY WITTM
HERCULES [GREEK GOD],KALA
HERCULES [GREEK GOD],ODIN [ASGARDIAN]
HERCULES [GREEK GOD],"STANKOWICZ, FABIAN"
HERCULES [GREEK GOD],KORATH THE PURSUER
HERCULES [GREEK GOD],"SIKORSKY, RAYMOND"
HERCULES [GREEK GOD],HUMAN TORCH ANDROID/
HERCULES [GREEK GOD],QUICKSILVER/PIETRO M
HERCULES [GREEK GOD],HILDEGARDE [ASGARDIA
HERCULES [GREEK GOD],"KINCAID, DR. KEITH"
HERCULES [GREEK GOD],ROGUE /
HERCULES [GREEK GOD],"KINCAID, DR. JANE FO"
HERCULES [GREEK GOD],"MASTERSON, KEVIN"
HERCULES [GREEK GOD],PUNISHER II/FRANK CA
HERCULES [GREEK GOD],INVISIBLE WOMAN/SUE 
HERCULES [GREEK GOD],"JAMESON, J. JONAH"
HERCULES [GREEK GOD],MARVEL BOY VI
HERCULES [GREEK GOD],SERSI/SYLVIA
HERCULES [GREEK GOD],MALACHI
HERMOD [ASGARDIAN],"STONE, LT. MARCUS"
HERMOD [ASGARDIAN],HOGUN [ASGARDIAN]
HESCAMAR/MARNOT [ASG,VOLSTAGG
"HIBBERT, HOPE",PROWLER/HOBIE BROWN
"HIBBERT, HOPE","WINTHROP, DESIREE"
HIGH EVOLUTIONARY/HE,MAN-BEAST
HIGH EVOLUTIONARY/HE,IRON FIST/DANIEL RAN
HIGH EVOLUTIONARY/HE,POLARIS/LORNA DANE
HIGH EVOLUTIONARY/HE,RIGER
HIGHNOTE/RAOUL HERNA,SPLICE/CHANDRA KU
HILDEGARDE [ASGARDIA,VIZIER
HILDEGARDE [ASGARDIA,"JARVIS, EDWIN "
HILDEGARDE [ASGARDIA,MEPHISTO
"HILLIARD, JACOB",SPIDER-MAN/PETER PAR
"HITLER, ADOLF",WARRIOR WOMAN/JULIA 
"HITLER, ADOLF",JACK FROST/
HOARFROST/,MOONSTONE II/KARLA S
HOARFROST/,"TAUREY, WILLIAM MALC"
HOBGOBLIN II/RODERIC,RANDI
HOBGOBLIN II/RODERIC,"JAMESON, J. JONAH"
HOBGOBLIN V/JASON PH,"KANE, MARCY/KAINA"
HOBGOBLIN V/JASON PH,"MCPHEE, LOUIE"
HOBGOBLIN V/JASON PH,LASHER/
HOBGOBLIN V/JASON PH,"URICH, BEN"
"HOCHBERG, ROGER",PEATOR
"HOCHBERG, ROGER",TARANTULA/ANTON MIGU
"HODGE, CAMERON",TOWER
"HODGE, CAMERON",TOWER
"HODGE, CAMERON","TILBY, TRISH/PATRICI"
"HODGE, CAMERON",MARVEL GIRL/JEAN GRE
"HODGE, CAMERON","JONES, CHARLOTTE"
"HOGAN, HAROLD J. HAP","HOGAN, VIRGINIA PEPP"
"HOGAN, HAROLD J. HAP",JOCASTA
"HOGAN, HAROLD J. HAP","STONE, TIBERIUS"
"HOGAN, HAROLD J. HAP",ZEMO/BARON HEINRICH 
"HOGAN, HAROLD J. HAP","STARK, MORGAN"
"HOGAN, HAROLD J. HAP","STARK, MORGAN"
"HOGAN, HAROLD J. HAP","NAPIER, RAMONA DR."
"HOGAN, VIRGINIA PEPP",THOR/DR. DONALD BLAK
"HOGAN, VIRGINIA PEPP",THOR/DR. DONALD BLAK
"HOGAN, VIRGINIA PEPP",SPYMASTER II
"HOGAN, VIRGINIA PEPP","YUAN, BILLY"
"HOGAN, VIRGINIA PEPP","SONDHEIM, ERICA"
"HOGAN, VIRGINIA PEPP","KREIGER, SIMON"
"HOGAN, VIRGINIA PEPP",IRON MAN/TONY STARK 
"HOGAN, VIRGINIA PEPP",IRON MAN/TONY STARK 
"HOGAN, VIRGINIA PEPP",IRON MAN/TONY STARK 
"HOGAN, VIRGINIA PEPP",QUICKSILVER/PIETRO M
"HOGAN, VIRGINIA PEPP","JAMESON, MARLA MADIS"
"HOGARTH, JERYN",LIVING MONOLITH/AHME
"HOGARTH, JERYN",MARVEL GIRL II/VALER
"HOGARTH, JERYN",NIGHTSHADE/TILDA
HOGUN [ASGARDIAN],THOR II/ROGER RED NO
HOGUN [ASGARDIAN],LOKI [ASGARDIAN]
HOGUN [ASGARDIAN],LOKI [ASGARDIAN]
HOGUN [ASGARDIAN],"O'NEILL, DET. BRADY"
HOGUN [ASGARDIAN],ODIN [ASGARDIAN]
HOGUN [ASGARDIAN],ODIN [ASGARDIAN]
HOGUN [ASGARDIAN],THOR/DR. DONALD BLAK
HOGUN [ASGARDIAN],THOR/DR. DONALD BLAK
HOGUN [ASGARDIAN],VOLSTAGG
HOGUN [ASGARDIAN],VOLSTAGG
HOGUN [ASGARDIAN],VOLSTAGG
HOGUN [ASGARDIAN],SIF
HOGUN [ASGARDIAN],SIF
HOGUN [ASGARDIAN],VIZIER
HOGUN [ASGARDIAN],THUNDERSTRIKE/ERIC K
HOLOCAUST,JAVITZ
HORUS [EGYPTIAN GOD],ODIN [ASGARDIAN]
HOTSHOT/LOUIS,"ROSS, GEN. THADDEUS "
HOUND,SIRYN/THERESA ROURKE
HOUND,"SUMMERS, NATHAN CHRI"
"HOWARD, PROFESSOR MA","STACY, JILL"
HRIMHARI,KARNILLA [ASGARDIAN]
"HUDSON, HEATHER",LIVING LIGHTNING/MIG
"HUDSON, HEATHER",MAKKARI/MIKE KHARY/I
"HUDSON, HEATHER",SHAMAN/MICHAEL TWOYO
"HUDSON, HEATHER",PUCK/EUGENE MILTON J
"HUDSON, HEATHER",PUCK/EUGENE MILTON J
"HUDSON, HEATHER",QUASAR III/WENDELL V
"HUDSON, HEATHER",STRONG GUY/GUIDO CAR
"HUDSON, HEATHER",SPEEDBALL/ROBBIE BAL
"HUDSON, HEATHER",WHIRLWIND/DAVID CANN
"HUDSON, HEATHER",MAGUS
"HUDSON, HEATHER",WINDSHEAR/COLIN ASHW
"HUDSON, HEATHER",VISION 
"HUDSON, HEATHER",MARVEL GIRL/JEAN GRE
"HUDSON, HEATHER",INVISIBLE WOMAN/SUE 
"HUDSON, HEATHER",PERSUASION/KARA KILL
"HUDSON, HEATHER",PERSUASION/KARA KILL
HULK DOPPELGANGER,SPIDER-MAN/PETER PAR
HULK DOPPELGANGER,TRITON DOPPELGANGER
HULK DOPPELGANGER II,SASQUATCH/WALTER LAN
HULK III/BRUCE BANNE,SHE-HULK/JENNIFER WA
HULK III/BRUCE BANNE,IRON MAN/TONY STARK 
HULK/DR. ROBERT BRUC,ULTRON
HULK/DR. ROBERT BRUC,MOCKINGBIRD/DR. BARB
HULK/DR. ROBERT BRUC,THING/BENJAMIN J. GR
HULK/DR. ROBERT BRUC,THING/BENJAMIN J. GR
HULK/DR. ROBERT BRUC,SILVER SURFER/NORRIN
HULK/DR. ROBERT BRUC,"TALBOT, GLENN"
HULK/DR. ROBERT BRUC,LADY LARK/LINDA LEWI
HULK/DR. ROBERT BRUC,"WILSON, JIM"
HULK/DR. ROBERT BRUC,"NORRISS, JACK"
HULK/DR. ROBERT BRUC,"NORRISS, JACK"
HULK/DR. ROBERT BRUC,SCARLET WITCH/WANDA 
HULK/DR. ROBERT BRUC,TEMPLAR/IAN FITZWILL
HULK/DR. ROBERT BRUC,RED GUARDIAN III/DR.
HULK/DR. ROBERT BRUC,STRONG GUY/GUIDO CAR
HULK/DR. ROBERT BRUC,PRINCE REY
HULK/DR. ROBERT BRUC,"QUARTERMAIN, CLAY"
HULK/DR. ROBERT BRUC,WARLOCK II/ADAM WARL
HULK/DR. ROBERT BRUC,"SUMMERS, NATHAN CHRI"
HULK/DR. ROBERT BRUC,"PENNYWORTH, J.C."
HULK/DR. ROBERT BRUC,LANDSLIDE
HULK/DR. ROBERT BRUC,MARVEL GIRL/JEAN GRE
HULK/DR. ROBERT BRUC,TEN FOR
HULK/DR. ROBERT BRUC,"NORRISS, SISTER BARB"
HULK/DR. ROBERT BRUC,THOR/DR. DONALD BLAK
HULK/DR. ROBERT BRUC,THOR/DR. DONALD BLAK
HULK/DR. ROBERT BRUC,"LARGO, CHIEF"
HULK/DR. ROBERT BRUC,NAMORITA/NITA PRENTI
HULK/DR. ROBERT BRUC,TORGO
HULK/DR. ROBERT BRUC,NIGHTHAWK II/KYLE RI
HULK/DR. ROBERT BRUC,NIGHTHAWK II/KYLE RI
HULK/DR. ROBERT BRUC,MACHINE MAN/X-51
HULK/DR. ROBERT BRUC,MEPHISTO
HULK/DR. ROBERT BRUC,ULYSSES II
HULK/DR. ROBERT BRUC,VISION 
HULK/DR. ROBERT BRUC,VISION 
HULK/DR. ROBERT BRUC,SPIDER-MAN/PETER PAR
HULK/DR. ROBERT BRUC,SPIDER-MAN/PETER PAR
HULK/DR. ROBERT BRUC,"NAGAN, DR. ARTHUR"
HULK/DR. ROBERT BRUC,ROGUE /
HULK/DR. ROBERT BRUC,TIGRA/GREER NELSON
HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS "
HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R
HULK/DR. ROBERT BRUC,TRIATHLON/DELROY GAR
HULK/DR. ROBERT BRUC,LEADER/SAM STERNS
HULK/DR. ROBERT BRUC,SUB-MARINER/NAMOR MA
HULK/DR. ROBERT BRUC,"KOENIG, ERIC"
HULK/DR. ROBERT BRUC,MAGNETO/MAGNUS/ERIC 
HULK/DR. ROBERT BRUC,UATU
HULK/DR. ROBERT BRUC,STUNT-MASTER/GEORGE 
HULK/DR. ROBERT BRUC,PSYLOCKE/ELISABETH B
HUMAN TORCH ANDROID/,IRON MAN/TONY STARK 
HUMAN TORCH ANDROID/,TOMMY LIGHTNING/
HUMAN TORCH ANDROID/,WASP/JANET VAN DYNE 
HUMAN TORCH ANDROID/,SERSI/SYLVIA
HUMAN TORCH ANDROID/,PATRIOT/JEFF MACE
HUMAN TORCH ANDROID/,"RAYMOND, ANN"
HUMAN TORCH DOPPELGA,THING DOPPELGANGER
HUMAN TORCH/JOHNNY S,HUNTARA/MARY ELIZABE
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
HUMAN TORCH/JOHNNY S,"REEVES, MAJOR"
HUMAN TORCH/JOHNNY S,MS. MARVEL II/SHARON
HUMAN TORCH/JOHNNY S,PSYCHO-MAN
HUMAN TORCH/JOHNNY S,NIGHTCRAWLER/KURT WA
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R
HUMAN TORCH/JOHNNY S,PSYLOCKE/ELISABETH B
HUMAN TORCH/JOHNNY S,NAMORITA/NITA PRENTI
HUMAN TORCH/JOHNNY S,PHARAOH RAMA-TUT
HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR
HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR
HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR
HUMAN TORCH/JOHNNY S,THING/BENJAMIN J. GR
HUMAN TORCH/JOHNNY S,WIZARD/BENTLEY WITTM
HUMAN TORCH/JOHNNY S,"RICHARDS, FRANKLIN B"
HUMAN TORCH/JOHNNY S,"RICHARDS, FRANKLIN B"
HUMAN TORCH/JOHNNY S,JUSTICE II/VANCE AST
HUMAN TORCH/JOHNNY S,"LEVESSEUR, LARENT"
HUMAN TORCH/JOHNNY S,THUNDERBALL/DR. ELIO
